"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"David Martin-Robinson","TEN","1","16.7%","1","25.0%","100.0%","1","100.0%","1","16.7%","1","25.0%","100.0%","1","100.0%"
"Cam Skattebo","NYG","4","12.5%","3","12.5%","75.0%","2","100.0%","1","3.1%","0","0.0%","0.0%","0","0.0%"
"Jack Bech","LV","3","10.3%","3","15.0%","100.0%","0","0.0%","1","3.4%","1","5.0%","100.0%","0","0.0%"
"Bhayshul Tuten","JAX","2","14.3%","2","20.0%","100.0%","2","100.0%","1","7.1%","1","10.0%","100.0%","1","50.0%"
"Tre' Harris","LAC","5","11.6%","3","10.0%","60.0%","1","100.0%","1","2.3%","1","3.3%","100.0%","1","100.0%"
"Efton Chism III","NE","1","33.3%","1","33.3%","100.0%","1","100.0%","1","33.3%","1","33.3%","100.0%","1","100.0%"
"Tez Johnson","TB","7","15.9%","6","21.4%","85.7%","3","60.0%","1","2.3%","1","3.6%","100.0%","1","20.0%"
"Kyle Monangai","CHI","3","10.0%","2","11.1%","66.7%","0","0.0%","1","3.3%","1","5.6%","100.0%","0","0.0%"
"Omarion Hampton","LAC","2","5.7%","2","6.3%","100.0%","1","100.0%","1","2.9%","1","3.1%","100.0%","1","100.0%"
"Quinn Ewers","MIA","1","100.0%","1","100.0%","100.0%","0","0.0%","1","100.0%","1","100.0%","100.0%","0","0.0%"
"Travis Hunter","JAX","4","8.9%","2","7.1%","50.0%","0","0.0%","1","2.2%","1","3.6%","100.0%","0","0.0%"
"Savion Williams","GB","4","40.0%","4","40.0%","100.0%","1","100.0%","1","10.0%","1","10.0%","100.0%","1","100.0%"
"Ameer Abdullah","IND","1","5.9%","1","6.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Derrick Henry","BAL","2","9.5%","2","13.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Evan Engram","DEN","10","13.2%","7","14.0%","70.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Samaje Perine","CIN","1","4.8%","1","5.9%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Eric Saubert","SEA","3","42.9%","2","50.0%","66.7%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Aaron Jones Sr.","MIN","5","12.2%","3","10.7%","60.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jeremy McNichols","WAS","2","6.5%","2","8.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Anthony Firkser","DET","3","30.0%","3","37.5%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Nick Chubb","HOU","2","10.0%","1","7.7%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Justin Watson","HOU","2","50.0%","1","33.3%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Will Dissly","LAC","1","5.9%","1","9.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Braxton Berrios","HOU","2","25.0%","2","33.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Trent Sherfield","ARI","2","40.0%","1","33.3%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
