"Name","Team","Games Played","RB PTS%","ATT%","YD%","TD%","TGT%","REC%","YD%","TD%"
"Kyle Juszczyk","SF","17","9.4","0.5","-0.2","0.0","5.1","6.0","4.9","6.1"
"Ameer Abdullah","IND","13","9.3","5.0","4.6","6.3","4.1","5.9","3.3","0.0"
"Jacardia Wright","SEA","1","8.8","16.1","23.5","0.0","0.0","0.0","0.0","0.0"
"Hunter Luepke","DAL","17","8.5","4.2","4.0","0.0","2.5","3.1","2.3","3.2"
"George Holani","SEA","11","8.5","7.7","6.3","8.3","0.7","1.0","0.5","0.0"
"C.J. Ham","MIN","11","8.0","1.3","0.5","25.0","0.6","1.0","0.5","0.0"
"Chris Brooks","GB","17","7.8","7.0","6.9","0.0","3.8","4.0","2.4","0.0"
"Clyde Edwards-Helaire","KC","2","7.5","13.5","7.3","0.0","2.8","4.5","1.5","0.0"
"Evan Hull","NO","6","7.3","18.1","12.3","0.0","0.6","0.8","0.4","0.0"
"Tyler Badie","DEN","16","7.2","2.4","1.5","0.0","5.6","5.1","3.8","0.0"
"AJ Dillon","PHI","7","6.9","9.4","12.3","0.0","1.5","2.2","1.5","0.0"
"Dare Ogunbowale","HOU","17","6.8","2.8","1.6","14.3","2.4","2.7","1.9","0.0"
"Andrew Beck","NYJ","17","6.4","0.3","0.3","0.0","1.9","2.0","1.6","13.3"
"LeQuint Allen Jr.","JAX","17","5.7","6.2","6.1","0.0","2.0","2.9","1.3","0.0"
"Kene Nwangwu","NYJ","12","5.6","5.3","5.1","0.0","0.3","0.0","0.0","0.0"
"Rasheen Ali","BAL","15","5.2","2.0","1.3","0.0","3.1","3.6","2.3","4.5"
"Will Shipley","PHI","15","4.8","4.4","3.4","0.0","2.9","3.2","1.8","0.0"
"Amar Johnson","LAC","2","4.6","6.5","8.5","0.0","1.9","0.0","0.0","0.0"
"Dameon Pierce","HOU","5","4.3","12.0","7.0","0.0","0.6","0.0","0.0","0.0"
"Hassan Haskins","LAC","12","4.0","7.4","5.0","0.0","1.0","1.4","0.4","0.0"
"Cam Akers","MIN","6","3.9","3.3","2.5","0.0","0.5","0.0","0.0","0.0"
"Kaleb Johnson","PIT","10","3.8","13.7","9.2","0.0","0.7","0.5","0.4","0.0"
"Trevor Etienne","CAR","17","3.7","5.1","5.6","0.0","0.6","0.9","0.4","0.0"
"Khalil Herbert","NYJ","7","3.7","11.2","6.9","0.0","1.8","0.7","0.3","0.0"
"DJ Giddens","IND","10","3.5","11.1","8.1","0.0","0.7","0.0","0.0","0.0"
"Adam Prentice","DEN","17","3.5","2.8","2.8","0.0","1.4","1.5","1.3","0.0"
"Scott Matlock","LAC","16","3.4","0.0","0.0","0.0","0.8","1.2","0.3","4.2"
"British Brooks","HOU","15","3.0","4.7","5.6","0.0","0.0","0.0","0.0","0.0"
"Myles Gaskin","SEA","1","2.9","10.0","5.3","0.0","0.0","0.0","0.0","0.0"
"Velus Jones Jr.","NO","8","2.8","2.2","4.4","0.0","0.0","0.0","0.0","0.0"
"Alec Ingold","MIA","17","2.5","0.5","0.5","0.0","2.6","2.5","1.6","0.0"
"Nathan Carter","ATL","7","2.2","5.2","7.3","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","3","2.0","6.2","4.9","0.0","0.0","0.0","0.0","0.0"
