"Name","Team","ATT","ATT%","TDS","TD%","TEAM%","ATT","ATT%","TDS","TD%","TEAM%"
"Caleb Williams","CHI","6","7.8%","2","66.7%","12.0%","2","2.6%","1","33.3%","8.0%"
"J.J. McCarthy","MIN","5","13.5%","2","50.0%","20.0%","2","5.4%","1","25.0%","12.5%"
"Ray Davis","BUF","3","5.2%","0","0.0%","4.7%","2","3.4%","0","0.0%","4.7%"
"Terrell Jennings","NE","2","8.7%","1","100.0%","7.4%","2","8.7%","1","100.0%","14.3%"
"Tyrone Tracy Jr.","NYG","6","3.4%","0","0.0%","11.8%","2","1.1%","0","0.0%","6.7%"
"Cam Ward","TEN","8","20.5%","2","100.0%","27.6%","2","5.1%","0","0.0%","16.7%"
"British Brooks","HOU","2","11.8%","0","0.0%","5.9%","2","11.8%","0","0.0%","8.7%"
"Devin Neal","NO","2","3.5%","2","100.0%","7.1%","2","3.5%","2","100.0%","16.7%"
"Chimere Dike","TEN","2","18.2%","0","0.0%","6.9%","2","18.2%","0","0.0%","16.7%"
"Josh Johnson","WAS","1","8.3%","1","100.0%","1.9%","1","8.3%","1","100.0%","2.9%"
"Kirk Cousins","ATL","1","7.1%","1","100.0%","2.5%","1","7.1%","1","100.0%","4.3%"
"Russell Wilson","NYG","3","16.7%","0","0.0%","5.9%","1","5.6%","0","0.0%","3.3%"
"Kyle Juszczyk","SF","1","50.0%","0","0.0%","2.2%","1","50.0%","0","0.0%","3.8%"
"Travis Kelce","KC","1","100.0%","0","0.0%","2.3%","1","100.0%","0","0.0%","4.8%"
"Jameis Winston","NYG","1","14.3%","1","100.0%","2.0%","1","14.3%","1","100.0%","3.3%"
"Ameer Abdullah","IND","2","14.3%","1","100.0%","5.3%","1","7.1%","1","100.0%","4.5%"
"Jeremy McNichols","WAS","3","6.8%","0","0.0%","5.7%","1","2.3%","0","0.0%","2.9%"
"Baker Mayfield","TB","2","3.6%","1","100.0%","6.5%","1","1.8%","1","100.0%","5.0%"
"Justice Hill","BAL","1","5.6%","1","50.0%","2.7%","1","5.6%","1","50.0%","3.7%"
"Jakobi Meyers","JAX","1","20.0%","0","0.0%","2.4%","1","20.0%","0","0.0%","4.2%"
"Kyler Murray","ARI","2","6.9%","0","0.0%","9.1%","1","3.4%","0","0.0%","9.1%"
"Deebo Samuel Sr.","WAS","2","11.8%","0","0.0%","3.8%","1","5.9%","0","0.0%","2.9%"
"Miles Sanders","DAL","3","15.0%","1","100.0%","25.0%","1","5.0%","1","100.0%","11.1%"
"Jake Browning","CIN","1","11.1%","1","100.0%","3.0%","1","11.1%","1","100.0%","5.0%"
"Greg Dortch","ARI","1","14.3%","1","100.0%","3.0%","1","14.3%","1","100.0%","5.6%"
"D'Ernest Johnson","NE","1","7.1%","0","0.0%","3.6%","1","7.1%","0","0.0%","9.1%"
"Chuba Hubbard","CAR","7","5.2%","1","100.0%","25.0%","1","0.7%","1","100.0%","8.3%"
"Joe Burrow","CIN","1","7.1%","0","0.0%","4.8%","1","7.1%","0","0.0%","6.7%"
"Jordan Love","GB","2","4.3%","0","0.0%","4.5%","1","2.1%","0","0.0%","3.8%"
"Ty Chandler","MIN","1","5.9%","0","0.0%","20.0%","1","5.9%","0","0.0%","25.0%"
"Reggie Gilliam","BUF","1","50.0%","0","0.0%","1.6%","1","50.0%","0","0.0%","2.3%"
"Mac Jones","SF","1","2.8%","0","0.0%","2.2%","1","2.8%","0","0.0%","3.8%"
"Davis Mills","HOU","1","7.7%","0","0.0%","2.9%","1","7.7%","0","0.0%","4.3%"
"Elijah Moore","BUF","1","16.7%","1","100.0%","2.9%","1","16.7%","1","100.0%","4.2%"
"Adam Prentice","DEN","1","10.0%","0","0.0%","2.9%","1","10.0%","0","0.0%","5.0%"
"Malik Willis","GB","3","13.6%","0","0.0%","6.8%","1","4.5%","0","0.0%","3.8%"
"Tyler Badie","DEN","1","12.5%","0","0.0%","2.9%","1","12.5%","0","0.0%","5.0%"
"C.J. Stroud","HOU","2","4.2%","1","100.0%","5.9%","1","2.1%","1","100.0%","4.3%"
"Greg Dulcich","MIA","1","100.0%","0","0.0%","4.3%","1","100.0%","0","0.0%","8.3%"
"Parker Washington","JAX","1","14.3%","0","0.0%","1.9%","1","14.3%","0","0.0%","3.1%"
"Trey Benson","ARI","2","6.9%","0","0.0%","25.0%","1","3.4%","0","0.0%","20.0%"
"Jaleel McLaughlin","DEN","2","5.4%","1","100.0%","5.7%","1","2.7%","1","100.0%","5.0%"
"Zavier Scott","MIN","1","3.1%","0","0.0%","4.0%","1","3.1%","0","0.0%","6.3%"
"Malachi Corley","CLE","1","7.7%","0","0.0%","4.8%","1","7.7%","0","0.0%","8.3%"
"Jawhar Jordan","HOU","2","4.7%","0","0.0%","28.6%","1","2.3%","0","0.0%","20.0%"
"Riley Leonard","IND","2","33.3%","2","100.0%","3.4%","1","16.7%","1","50.0%","2.9%"
"Joe Milton III","DAL","1","20.0%","0","0.0%","2.1%","1","20.0%","0","0.0%","3.0%"
"Bo Nix","DEN","6","7.2%","4","80.0%","17.1%","1","1.2%","0","0.0%","5.0%"
"AJ Barner","SEA","2","20.0%","1","100.0%","4.2%","1","10.0%","1","100.0%","3.4%"
"Harold Fannin Jr.","CLE","1","14.3%","1","100.0%","3.0%","1","14.3%","1","100.0%","4.5%"
"Brashard Smith","KC","5","11.4%","0","0.0%","11.6%","1","2.3%","0","0.0%","4.8%"
"DJ Giddens","IND","1","3.8%","0","0.0%","1.7%","1","3.8%","0","0.0%","2.9%"
"Trevor Etienne","CAR","3","15.0%","0","0.0%","10.7%","1","5.0%","0","0.0%","8.3%"
"Phil Mafah","DAL","1","20.0%","1","100.0%","25.0%","1","20.0%","1","100.0%","33.3%"
"LeQuint Allen Jr.","JAX","1","4.3%","0","0.0%","1.9%","1","4.3%","0","0.0%","3.1%"
"Jaydon Blue","DAL","2","5.3%","0","0.0%","4.2%","1","2.6%","0","0.0%","3.0%"
"Tyrod Taylor","NYJ","1","3.7%","1","100.0%","4.0%","0","0.0%","0","0.0%","0.0%"
"Raheem Mostert","LV","1","4.5%","0","0.0%","5.3%","0","0.0%","0","0.0%","0.0%"
"Carson Wentz","MIN","1","9.1%","0","0.0%","11.1%","0","0.0%","0","0.0%","0.0%"
"Jared Goff","DET","2","10.5%","0","0.0%","4.1%","0","0.0%","0","0.0%","0.0%"
"DJ Moore","CHI","1","6.7%","0","0.0%","2.0%","0","0.0%","0","0.0%","0.0%"
"Mason Rudolph","PIT","1","14.3%","0","0.0%","2.2%","0","0.0%","0","0.0%","0.0%"
"Alec Ingold","MIA","1","50.0%","0","0.0%","3.1%","0","0.0%","0","0.0%","0.0%"
"DK Metcalf","PIT","1","50.0%","1","100.0%","2.6%","0","0.0%","0","0.0%","0.0%"
"Andrew Beck","NYJ","1","100.0%","0","0.0%","4.0%","0","0.0%","0","0.0%","0.0%"
"Nico Collins","HOU","1","50.0%","1","100.0%","2.9%","0","0.0%","0","0.0%","0.0%"
"Tyler Huntley","BAL","1","4.2%","0","0.0%","2.1%","0","0.0%","0","0.0%","0.0%"
"Khalil Herbert","NYJ","1","6.3%","0","0.0%","5.9%","0","0.0%","0","0.0%","0.0%"
"Dyami Brown","JAX","1","16.7%","0","0.0%","1.9%","0","0.0%","0","0.0%","0.0%"
"Chris Brooks","GB","1","3.7%","0","0.0%","2.3%","0","0.0%","0","0.0%","0.0%"
"George Holani","SEA","1","4.5%","1","100.0%","3.0%","0","0.0%","0","0.0%","0.0%"
"Jameson Williams","DET","1","16.7%","0","0.0%","2.0%","0","0.0%","0","0.0%","0.0%"
"Isiah Pacheco","KC","7","5.9%","1","100.0%","16.3%","0","0.0%","0","0.0%","0.0%"
"Puka Nacua","LAR","1","10.0%","0","0.0%","1.9%","0","0.0%","0","0.0%","0.0%"
"Keaton Mitchell","BAL","2","3.4%","0","0.0%","3.8%","0","0.0%","0","0.0%","0.0%"
"Kendre Miller","NO","2","4.3%","0","0.0%","25.0%","0","0.0%","0","0.0%","0.0%"
"Emari Demercado","ARI","4","9.1%","0","0.0%","11.4%","0","0.0%","0","0.0%","0.0%"
"Brian Thomas Jr.","JAX","1","33.3%","1","100.0%","1.9%","0","0.0%","0","0.0%","0.0%"
"Braelon Allen","NYJ","3","16.7%","1","100.0%","37.5%","0","0.0%","0","0.0%","0.0%"
"Bucky Irving","TB","6","3.5%","0","0.0%","19.4%","0","0.0%","0","0.0%","0.0%"
"Cade Stover","HOU","1","25.0%","0","0.0%","5.3%","0","0.0%","0","0.0%","0.0%"
"Isaiah Davis","NYJ","1","2.3%","0","0.0%","4.2%","0","0.0%","0","0.0%","0.0%"
"Malik Washington","MIA","1","5.9%","1","100.0%","3.1%","0","0.0%","0","0.0%","0.0%"
"Jordan Whittington","LAR","1","33.3%","0","0.0%","1.9%","0","0.0%","0","0.0%","0.0%"
"Colston Loveland","CHI","1","100.0%","0","0.0%","2.0%","0","0.0%","0","0.0%","0.0%"
"Dylan Sampson","CLE","1","1.5%","0","0.0%","3.0%","0","0.0%","0","0.0%","0.0%"
"Corey Kiner","ARI","1","8.3%","0","0.0%","25.0%","0","0.0%","0","0.0%","0.0%"
"Terrance Ferguson","LAR","1","100.0%","0","0.0%","1.9%","0","0.0%","0","0.0%","0.0%"
"Shedeur Sanders","CLE","1","4.8%","1","100.0%","3.0%","0","0.0%","0","0.0%","0.0%"
